Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Emirate,Q5_Employment,Q6_Income,Q7_Education,Q8_Household,Q9_Cafe_Frequency,Q10_Avg_Spending_Per_Visit_AED,Q11_Visit_Duration,Q12_Primary_Reason,Q13_Preferred_Time,Q14_Alone_Or_Company,Q15_Reading_Frequency,Q16_Books_Per_Year,Q17_Reading_Format,Q18_Favorite_Genres,Q19_Book_Acquisition,Q20_Book_Spending_Monthly_AED,Q21_Coffee_Preferences,Q22_Reading_Beverage,Q23_Ideal_Ambiance,Q24_Food_Preferences,Q25_Visited_Similar_Concept,Q26_What_Attracts,Q27_Book_Access_Model,Q28_Monthly_book_club_membership,Q28_Author_meet_&_greet_events,Q28_Writing_poetry_workshops,Q28_Children's_storytelling_sessions,Q28_Private_reading_pods_rooms,Q28_Co-working_space_with_books,Q28_Take-home_book_subscription,Q28_Coffee_+_book_pairing_recommendations,Q29_Willing_Pay_Coffee_AED,Q30_Total_Spending_Per_Visit_AED,Q31_Consider_Membership,Q32_Membership_Fee_AED,Q33_Premium_Exclusive,Q34_Quality_of_coffee,Q34_Book_collection_size_&_quality,Q34_Ambiance_&_comfort,Q34_Location_convenience,Q34_Price_value,Q35_Free_Time_Activities,Q36_Personality,Q37_Environmental_Consciousness,Q38_Technology_Adoption,Q39_Brand_Loyalty,Q40_Interest_Rating_1to10,Q41_Visit_Likelihood_TARGET,Q42_Expected_Visit_Frequency,Q43_Recommend_To_Others,Q44_Preferred_Location,Q45_Concerns,Q46_Additional_Services_Feedback,Q47_Other_Comments
342,25-34,Female,Arab Expat,Abu Dhabi,Full-time employed,"10,001 - 20,000",Diploma/Vocational Training,Extended family household,4-6 times per week,25,30 minutes - 1 hour,Social meetings with friends/colleagues,Lunch time (12-3 PM)|Weekends only,Both equally,Daily reader (read every day),35,"E-books (Kindle, tablets)|Online articles/blogs|Physical books (paperback/hardcover)",Children's/Young Adult|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Religious/Spiritual,Public libraries,183,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)",Iced coffee,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Natural lighting|Soft background music|Vintage/classic decor","Desserts (cakes, brownies)|International cuisine options|No food, just beverages|Traditional Arabic sweets","Yes, in UAE","Ability to borrow books|Ability to purchase books|Community of like-minded people|Cozy, comfortable ambiance|Quiet environment for reading",Digital library access + physical cafe,4,3,2,2,3,3,4,4,23,53,"Yes, definitely",117,Above 50 AED,2,1,3,2,3,Learning new skills/courses|Reading books|Working on personal projects,Very introverted (prefer solitude),Very important (influences all decisions),Mainstream (adopt when widely accepted),Very loyal (stick to favorites),10,Probably will visit,Once a week,Definitely yes,Near universities/schools,May be too crowded/noisy,N/A,N/A
343,18-24,Female,Arab Expat,Umm Al Quwain,Self-employed/Business owner,"50,001 - 75,000",Diploma/Vocational Training,"Single, living with roommates",2-3 times per week,73,1-2 hours,Food quality|Work/study in a different environment,Evening (6-9 PM)|Mid-morning (9 AM-12 PM)|Weekends only,Mostly with company,Regular reader (3-5 times per week),25,Magazines,Children's/Young Adult|Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Poetry|Religious/Spiritual,"E-book subscriptions (Kindle Unlimited, etc.)",253,Arabic/Turkish Coffee|Hot Chocolate|Non-caffeinated beverages only,Hot chocolate,Bookshelves surrounding|Minimalist decor|Outdoor seating option|Quiet/Silent zones|Vintage/classic decor,"Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Salads","No, but interested","Access to large book collection|Cozy, comfortable ambiance|Instagram-worthy aesthetics|Multilingual book collection",Membership for book borrowing (take home),4,3,4,2,5,3,2,5,68,222,Maybe,362,36-50 AED,2,3,2,5,4,Gaming|Social media browsing,Balanced (ambivert),Important (consider when possible),Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),10,Probably will visit,Multiple times per week,Probably yes,Mixed-use developments,Distance/location inconvenience,N/A,N/A
344,25-34,Female,UAE National,Dubai,Self-employed/Business owner,"20,001 - 35,000",Master's Degree,"Single, living with roommates",4-6 times per week,31,1-2 hours,Business meetings,Evening (6-9 PM)|Mid-morning (9 AM-12 PM)|Weekends only,Mostly alone,Monthly reader (few times a month),7,"E-books (Kindle, tablets)|Online articles/blogs|Physical books (paperback/hardcover)",Children's/Young Adult|Comics/Graphic Novels|Religious/Spiritual,"Online purchase (Amazon, Noon, etc.)|Public libraries|Purchase from bookstores",39,"Arabic/Turkish Coffee|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)",Hot chocolate,Bookshelves surrounding|Modern/contemporary decor|Natural lighting|Vintage/classic decor,"Desserts (cakes, brownies)|No food, just beverages|Pastries (croissants, muffins)|Traditional Arabic sweets","No, and not interested",Ability to borrow books|Ability to purchase books|Book exchange program|Community of like-minded people|Instagram-worthy aesthetics,"Book exchange (bring one, take one)",1,2,5,3,3,3,2,2,31,58,Probably not,0,21-35 AED,3,3,1,4,2,Learning new skills/courses|Reading books|Shopping,Very extroverted (thrive in social settings),Important (consider when possible),Early adopter (love new tech),Neutral (try based on mood),7,Definitely will visit,Once a week,Definitely yes,Street retail/standalone|Tourist areas,May be too crowded/noisy,N/A,N/A
345,25-34,Male,South Asian,Abu Dhabi,Full-time employed,"20,001 - 35,000",Diploma/Vocational Training,"Married/Partner, with children (under 12)",Once a week,33,30 minutes - 1 hour,Ambiance and interior design,Afternoon (3-6 PM),Always with company,Regular reader (3-5 times per week),17,Magazines|Newspapers,Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Poetry,"Online purchase (Amazon, Noon, etc.)",122,Arabic/Turkish Coffee|Fresh Juices/Smoothies|Non-caffeinated beverages only,Hot coffee,"Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Individual reading nooks/pods|Outdoor seating option","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Traditional Arabic sweets","Yes, outside UAE",Ability to borrow books|Book clubs/reading groups|Community of like-minded people|Quality coffee and food|Quiet environment for reading,Digital library access + physical cafe,3,2,2,3,3,4,4,4,33,77,"Yes, definitely",226,10-20 AED,2,5,4,1,4,Reading books|Socializing with friends/family|Working on personal projects,Balanced (ambivert),Important (consider when possible),Early adopter (love new tech),Somewhat loyal (prefer familiar but open),8,Definitely will visit,Multiple times per week,Probably yes,Shopping malls,Coffee quality concerns,N/A,N/A
346,45-54,Male,East Asian,Sharjah,Homemaker,"35,001 - 50,000",Diploma/Vocational Training,Extended family household,Once a week,35,1-2 hours,"Relaxation and ""me-time""",Evening (6-9 PM),Both equally,Daily reader (read every day),47,"E-books (Kindle, tablets)|Newspapers|Online articles/blogs",Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Non-Fiction - Science/Technology,"E-book subscriptions (Kindle Unlimited, etc.)|Free online resources|Purchase from bookstores",158,"Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)",Iced coffee|Tea,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Greenery/plants|Minimalist decor|Quiet/Silent zones",Breakfast items|Sandwiches/Wraps,"No, but interested",Ability to borrow books|Kids' reading corner|Quality coffee and food|Quiet environment for reading|Work/study-friendly environment,Membership for book borrowing (take home),4,3,2,5,4,4,4,4,32,61,Probably not,0,10-20 AED,1,5,4,4,3,Dining out/cafe hopping|Reading books|Social media browsing,Somewhat extroverted,Important (consider when possible),Late adopter (adopt when necessary),Variety seeker (always try new places),7,Definitely will visit,Once a month,Definitely yes,Street retail/standalone|Tourist areas,Distance/location inconvenience,N/A,N/A
347,55+,Prefer not to say,East Asian,Abu Dhabi,Retired,"35,001 - 50,000",Master's Degree,"Married/Partner, no children",2-3 times per month,51,30 minutes - 1 hour,Ambiance and interior design|Location convenience,Lunch time (12-3 PM)|Mid-morning (9 AM-12 PM),Mostly with company,Regular reader (3-5 times per week),19,Magazines,Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Other|Religious/Spiritual,"Free online resources|Online purchase (Amazon, Noon, etc.)",141,Cold Brew/Iced Coffee|Filter/Drip Coffee|Hot Chocolate,Hot chocolate,Dim/cozy lighting|Minimalist decor|Soft background music|Vintage/classic decor,"No food, just beverages|Vegan/Healthy options","No, and not interested","Ability to purchase books|Book clubs/reading groups|Community of like-minded people|Cozy, comfortable ambiance",Combination of above options,3,2,4,5,3,3,2,4,51,104,"Yes, depending on price",236,21-35 AED,1,1,1,2,2,Reading books|Working on personal projects,Somewhat introverted,Important (consider when possible),Late adopter (adopt when necessary),Somewhat loyal (prefer familiar but open),10,Definitely will visit,Once a week,Probably yes,Mixed-use developments,May be too crowded/noisy|Price might be too high,N/A,N/A
348,25-34,Male,Western Expat,Ajman,Full-time employed,"20,001 - 35,000",Master's Degree,"Single, living alone",Once a week,29,30 minutes - 1 hour,Free WiFi,Mid-morning (9 AM-12 PM)|Weekends only,Both equally,Regular reader (3-5 times per week),27,Audiobooks|Magazines,Children's/Young Adult|Fiction - Mystery/Thriller|Poetry,Free online resources,92,"Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Tea (Black, Green, Herbal)",Water only,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Individual reading nooks/pods|Natural lighting|Quiet/Silent zones|Vintage/classic decor","Light snacks (cookies, biscuits)|Salads|Sandwiches/Wraps|Traditional Arabic sweets","Yes, outside UAE",Ability to borrow books|Access to large book collection|Author events/book signings|Book clubs/reading groups|Multilingual book collection|Quality coffee and food|Work/study-friendly environment,Combination of above options,3,2,5,5,2,3,4,4,29,50,"Yes, depending on price",345,21-35 AED,3,5,1,5,5,Outdoor activities/sports|Traveling|Watching movies/series,Balanced (ambivert),Very important (influences all decisions),Fast follower (adopt after some research),Variety seeker (always try new places),10,Probably will visit,Once a month,Probably yes,Beach/waterfront locations|Residential communities,Limited book selection|No major concerns,N/A,N/A
349,35-44,Prefer not to say,East Asian,Sharjah,Full-time employed,"Above 75,000",Bachelor's Degree,"Single, living alone",2-3 times per week,89,1-2 hours,Business meetings,Afternoon (3-6 PM)|Night (9 PM onwards),Always with company,Regular reader (3-5 times per week),28,"Audiobooks|E-books (Kindle, tablets)|Physical books (paperback/hardcover)",Fiction - Literary|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Non-Fiction - Science/Technology,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)|Online purchase (Amazon, Noon, etc.)",105,"Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies","Cold beverages (juice, smoothies)|Water only",Dim/cozy lighting|Greenery/plants|Natural lighting|Soft background music,"Desserts (cakes, brownies)|Pastries (croissants, muffins)|Traditional Arabic sweets|Vegan/Healthy options","No, and not interested",Access to large book collection|Author events/book signings|Book clubs/reading groups|Book exchange program|Multilingual book collection|Work/study-friendly environment,Free browsing/reading in-cafe only,5,4,3,3,4,5,3,2,80,243,"Yes, definitely",272,21-35 AED,5,4,4,2,1,Arts & crafts|Reading books|Socializing with friends/family,Somewhat extroverted,Important (consider when possible),Fast follower (adopt after some research),Neutral (try based on mood),10,Definitely will visit,Multiple times per week,Definitely yes,Beach/waterfront locations|Mixed-use developments,Coffee quality concerns,N/A,N/A
350,25-34,Female,South Asian,Dubai,Full-time employed,Prefer not to say,Bachelor's Degree,"Single, living with roommates",Once a week,50,2-3 hours,Social meetings with friends/colleagues,Evening (6-9 PM),Mostly alone,Regular reader (3-5 times per week),18,Newspapers|Online articles/blogs,Children's/Young Adult|Comics/Graphic Novels|Religious/Spiritual,Free online resources,127,Filter/Drip Coffee|Fresh Juices/Smoothies,Iced coffee|Tea,Fireplace or warm elements|Individual reading nooks/pods|Outdoor seating option|Quiet/Silent zones,"International cuisine options|Pastries (croissants, muffins)|Sandwiches/Wraps|Vegan/Healthy options","No, but interested",Ability to purchase books|Access to large book collection|Kids' reading corner|Multilingual book collection,Combination of above options,3,3,2,4,4,2,3,3,45,103,"Yes, definitely",190,10-20 AED,5,1,3,2,1,Arts & crafts|Reading books|Working on personal projects,Somewhat introverted,Somewhat important,Fast follower (adopt after some research),Neutral (try based on mood),8,Definitely will visit,Once a month,Definitely yes,Mixed-use developments|Street retail/standalone,Distance/location inconvenience,N/A,N/A
351,55+,Female,Western Expat,Dubai,Full-time employed,"20,001 - 35,000",Diploma/Vocational Training,Extended family household,2-3 times per month,26,Less than 30 minutes (quick coffee),"Relaxation and ""me-time""",Mid-morning (9 AM-12 PM)|Night (9 PM onwards),Mostly with company,Daily reader (read every day),27,Audiobooks|Magazines|Physical books (paperback/hardcover),Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Religious/Spiritual,"E-book subscriptions (Kindle Unlimited, etc.)|Online purchase (Amazon, Noon, etc.)|Public libraries",101,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)",Water only,Dim/cozy lighting|Modern/contemporary decor|Outdoor seating option|Quiet/Silent zones,Breakfast items|International cuisine options|Sandwiches/Wraps,"Yes, in UAE","Book exchange program|Cozy, comfortable ambiance|Kids' reading corner|Quiet environment for reading|Work/study-friendly environment",Combination of above options,4,4,4,1,4,3,4,3,25,57,Maybe,246,10-20 AED,5,5,1,3,1,Reading books|Watching movies/series,Very introverted (prefer solitude),Not a priority,Mainstream (adopt when widely accepted),Neutral (try based on mood),8,Probably will visit,Once a week,Definitely yes,Mixed-use developments,Distance/location inconvenience|Other,N/A,N/A
352,35-44,Prefer not to say,South Asian,Abu Dhabi,Full-time employed,"Above 75,000",Diploma/Vocational Training,Extended family household,Once a week,120,2-3 hours,Free WiFi,Early morning (6-9 AM)|Night (9 PM onwards)|Weekends only,Mostly alone,Monthly reader (few times a month),10,"E-books (Kindle, tablets)|Magazines|Newspapers",Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Other,"E-book subscriptions (Kindle Unlimited, etc.)|Online purchase (Amazon, Noon, etc.)",26,"Fresh Juices/Smoothies|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)",Fireplace or warm elements|Minimalist decor|Quiet/Silent zones,Breakfast items|Traditional Arabic sweets,"No, but interested","Access to large book collection|Author events/book signings|Book exchange program|Community of like-minded people|Cozy, comfortable ambiance",Membership for book borrowing (take home),3,1,3,2,3,1,3,2,80,193,"Yes, depending on price",405,10-20 AED,2,4,3,4,4,Learning new skills/courses|Shopping|Socializing with friends/family,Balanced (ambivert),Important (consider when possible),Fast follower (adopt after some research),Opportunistic (based on deals/convenience),8,Probably will visit,Once a week,Probably yes,Business districts,Coffee quality concerns,N/A,N/A
353,55+,Prefer not to say,GCC National,Dubai,Retired,"20,001 - 35,000",Master's Degree,"Single, living alone",Once a week,37,30 minutes - 1 hour,"Relaxation and ""me-time""",Evening (6-9 PM)|Lunch time (12-3 PM)|Weekends only,Both equally,Monthly reader (few times a month),7,"Audiobooks|E-books (Kindle, tablets)|Magazines",Fiction - Contemporary/Romance|Other,Borrow from friends/family,33,Filter/Drip Coffee|Hot Chocolate,"Cold beverages (juice, smoothies)|Water only","Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Greenery/plants|Outdoor seating option|Soft background music","Breakfast items|No food, just beverages|Pastries (croissants, muffins)|Traditional Arabic sweets","Yes, outside UAE",Ability to purchase books|Access to large book collection|Book clubs/reading groups|Community of like-minded people,"Book exchange (bring one, take one)",1,3,4,3,2,3,2,1,37,85,"Yes, definitely",316,21-35 AED,4,1,2,5,1,Learning new skills/courses|Reading books|Watching movies/series,Very introverted (prefer solitude),Very important (influences all decisions),Early adopter (love new tech),Opportunistic (based on deals/convenience),10,Definitely will visit,Once a month,Definitely yes,Business districts|Residential communities,May be too crowded/noisy,N/A,N/A
354,18-24,Female,Arab Expat,Dubai,Student,"Less than 5,000",High School or below,"Married/Partner, with children (teenagers/adults)",2-3 times per month,12,Less than 30 minutes (quick coffee),Ambiance and interior design|Social meetings with friends/colleagues,Early morning (6-9 AM)|Evening (6-9 PM)|Lunch time (12-3 PM),Mostly with company,Monthly reader (few times a month),4,Magazines|Online articles/blogs,Fiction - Literary|Other,"E-book subscriptions (Kindle Unlimited, etc.)",11,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate",Water only,Fireplace or warm elements|Minimalist decor|Quiet/Silent zones,"Breakfast items|International cuisine options|No food, just beverages|Vegan/Healthy options","No, but interested",Access to large book collection|Book exchange program|Kids' reading corner|Quality coffee and food|Quiet environment for reading,Combination of above options,3,5,3,4,3,4,2,1,15,20,Probably not,0,10-20 AED,4,3,2,5,4,Gaming|Traveling|Working on personal projects,Somewhat introverted,Important (consider when possible),Early adopter (love new tech),Somewhat loyal (prefer familiar but open),7,Probably will visit,Once a month,Probably yes,Beach/waterfront locations|Near universities/schools,Distance/location inconvenience,N/A,N/A
